ZoneNumber,day_of_week,hour_of_day,avg_active_cars
0313,2,10,1.5
0313,2,11,3
0313,2,12,1
0313,2,13,1
0313,2,14,1
0313,2,15,1
0313,2,16,1
0313,2,17,1
0313,2,18,1
0313,3,8,1.75
0313,3,9,1.5
0313,3,10,1.5
0313,3,11,1
0313,3,12,1.67
0313,3,13,1.75
0313,3,14,1.5
0313,3,16,1
0313,3,17,2
0313,3,20,1
0313,4,8,1.33
0313,4,9,2
0313,4,10,2.33
0313,4,11,2.5
0313,4,12,1.33
0313,4,13,1
0313,4,14,1
0313,4,15,1
0313,4,16,1
0313,4,17,1
0313,4,18,1
0313,4,19,1
0313,4,20,1
0313,5,8,2
0313,5,9,1.75
0313,5,10,3
0313,5,11,1.5
0313,5,12,2
0313,5,13,1.5
0313,5,14,1
0313,5,15,3
0313,5,16,1
0313,5,19,1
0313,5,20,1
0313,6,9,2
0313,6,10,1.5
0313,6,14,1
0313,6,16,1
0313,6,19,1
0313,6,20,1
0313,7,8,1
0313,7,9,1
0313,7,10,1
0313,7,11,1
0313,7,12,1
0313,7,13,1
0313,7,15,1
0313,7,16,1
0313,7,17,1
0313,7,18,1
0313,7,19,1
0313,7,20,1
0314,1,8,1
0314,1,9,1
0314,1,10,1
0314,1,11,1
0314,1,12,1
0314,1,13,1.33
0314,1,14,1.5
0314,1,15,1
0314,1,16,1
0314,1,17,1
0314,1,18,1
0314,2,8,2.33
0314,2,9,2
0314,2,10,2.25
0314,2,11,3
0314,2,12,2
0314,2,13,1
0314,2,14,1
0314,2,15,1
0314,2,16,1.5
0314,2,17,1
0314,2,18,1
0314,2,19,1
0314,3,8,1
0314,3,9,1.33
0314,3,10,2
0314,3,11,1
0314,3,12,1.5
0314,3,13,1
0314,3,14,1
0314,3,15,1
0314,3,16,1
0314,3,19,1
0314,3,20,1
0314,4,8,1.5
0314,4,10,1
0314,4,11,1.5
0314,4,12,2
0314,4,13,1.5
0314,4,14,1.5
0314,4,15,1
0314,4,16,1
0314,4,18,1
0314,5,8,1
0314,5,9,1
0314,5,10,1.33
0314,5,11,1.33
0314,5,12,1.33
0314,5,13,1
0314,5,14,2
0314,5,16,1
0314,5,17,1
0314,5,19,1
0314,6,8,1
0314,6,9,3
0314,6,12,1
0314,6,13,1
0314,6,16,1
0314,7,8,2
0314,7,9,3
0314,7,10,1
0314,7,11,1
0314,7,12,1
0314,7,13,1
0314,7,14,1
0314,7,15,2
0314,7,16,1.33
0314,7,17,1
0314,7,18,1
0314,7,19,1
0314,7,20,1
0315,1,8,2
0315,1,9,1.25
0315,1,10,1.5
0315,1,11,1
0315,1,12,2
0315,1,13,1.5
0315,1,14,1
0315,1,15,1
0315,1,16,1
0315,1,17,1
0315,1,18,1
0315,1,19,1
0315,2,8,1.5
0315,2,9,2
0315,2,10,1
0315,2,11,1.33
0315,2,12,1
0315,2,13,1
0315,2,14,1
0315,2,15,1
0315,2,16,1
0315,2,17,1
0315,2,18,1
0315,3,8,1.5
0315,3,9,1.67
0315,3,10,1.5
0315,3,11,1.5
0315,3,12,2
0315,3,13,1
0315,3,15,1.5
0315,3,16,2
0315,4,8,1
0315,4,12,1
0315,4,13,1.33
0315,4,14,1
0315,5,8,1.25
0315,5,9,1.6
0315,5,10,1.5
0315,5,11,1
0315,5,12,1
